date,amount,desc
06/05/2020,-465.13,ANZ INTERNET BANKING BPAY ORIGIN ENERGY {274447}
24/08/2020,-509.99,ANZ INTERNET BANKING BPAY ORIGIN ENERGY {817996}
24/08/2020,-1591.32,ANZ INTERNET BANKING BPAY SCC {818203}
25/06/2020,-313.32,ANZ INTERNET BANKING BPAY SHOALHAVEN WATER {169196}
17/04/2020,-389.5,ANZ INTERNET BANKING BPAY SHOALHAVEN WATER {938841}
05/04/2020,-1241.15,ANZ INTERNET BANKING BPAY TEACHERS HEALTH FU {125526}
10/05/2020,-1236.95,ANZ INTERNET BANKING BPAY TEACHERS HEALTH FU {519726}
08/07/2020,-1141.55,ANZ INTERNET BANKING BPAY TEACHERS HEALTH FU {717826}
11/04/2020,-3716.52,ANZ INTERNET BANKING FUNDS TFER TRANSFER 105015 TO 4564680025696732
27/04/2020,-95,ANZ INTERNET BANKING FUNDS TFER TRANSFER 111317 TO KC DANCE COMPA
24/06/2020,-30,ANZ INTERNET BANKING FUNDS TFER TRANSFER 167127 TO NOWRA PLAYE
24/06/2020,-30,ANZ INTERNET BANKING FUNDS TFER TRANSFER 168168 TO NOWRA PLAYE
17/08/2020,-55.45,ANZ INTERNET BANKING FUNDS TFER TRANSFER 182635 TO SAMANTHA FARL
30/07/2020,-625,ANZ INTERNET BANKING FUNDS TFER TRANSFER 204284 TO SHOALHAVEN HOT WATER
22/07/2020,-557,ANZ INTERNET BANKING FUNDS TFER TRANSFER 333038 TO KC DANCE COMPA
14/09/2020,-58.45,ANZ INTERNET BANKING FUNDS TFER TRANSFER 346283 TO SAMANTHA FARL
14/09/2020,-100,ANZ INTERNET BANKING FUNDS TFER TRANSFER 404540 TO M MILL
05/08/2020,-5014.49,ANZ INTERNET BANKING FUNDS TFER TRANSFER 409694 TO 4564680025696732
15/06/2020,-80,ANZ INTERNET BANKING FUNDS TFER TRANSFER 536195 TO JILL TALB
28/09/2020,-60,ANZ INTERNET BANKING FUNDS TFER TRANSFER 610502 TO NOWRA PLAYE
31/07/2020,-82.48,ANZ INTERNET BANKING FUNDS TFER TRANSFER 694160 TO KERIN LEANNA WO
08/07/2020,-4180.05,ANZ INTERNET BANKING FUNDS TFER TRANSFER 717041 TO 4564680025696732
08/07/2020,-180,ANZ INTERNET BANKING FUNDS TFER TRANSFER 719914 TO JILL TALB
06/12/2020,-4809.77,ANZ INTERNET BANKING FUNDS TFER TRANSFER 814068 TO 4564680025696732
14/07/2020,-1905.96,ANZ INTERNET BANKING FUNDS TFER TRANSFER 822399 TO 4564680025696732
10/12/2020,-2431.28,ANZ INTERNET BANKING FUNDS TFER TRANSFER 823517 TO 4564680025696732
09/11/2020,-2682.58,ANZ INTERNET BANKING FUNDS TFER TRANSFER 824798 TO 4564680025696732
29/09/2020,-200,ANZ INTERNET BANKING FUNDS TFER TRANSFER 956568 TO M MILL
05/07/2020,-2639,APPLE ONLINE AU SYDNEY
22/06/2020,-16.45,Audible Australia MELBOURNE
20/07/2020,-16.45,Audible Australia MELBOURNE
20/08/2020,-16.45,Audible Australia MELBOURNE
08/04/2020,-24.7,BAKEHOUSE DELIGHTS P CALLALA BAY
15/04/2020,-8,BAKEHOUSE DELIGHTS P CALLALA BAY
20/04/2020,-14,BAKEHOUSE DELIGHTS P CALLALA BAY
21/04/2020,-15.9,BAKEHOUSE DELIGHTS P CALLALA BAY
20/10/2020,-7.5,BAKEHOUSE DELIGHTS P CALLALA BAY
06/01/2020,-45.55,BAY VILLAGES MEATS CALLALA BAY
